county,date,state,cases,deaths
Cook,2020-06-03,Illinois,80204,3780.0
San Francisco,2020-06-04,California,2647,43.0
Cook,2020-06-04,Georgia,47,2.0
Cook,2020-06-04,Illinois,80713,3846.0
San Francisco,2020-06-05,California,2701,43.0
Cook,2020-06-05,Georgia,51,2.0
Cook,2020-06-05,Illinois,81344,3880.0
San Francisco,2020-06-06,California,2715,43.0
Cook,2020-06-06,Georgia,56,2.0
Cook,2020-06-06,Illinois,81924,3913.0
San Francisco,2020-06-07,California,2750,43.0
Cook,2020-06-07,Georgia,57,2.0
Cook,2020-06-07,Illinois,82427,3944.0
San Francisco,2020-06-08,California,2782,43.0
Cook,2020-06-08,Georgia,56,1.0
Cook,2020-06-08,Illinois,82819,3959.0
San Francisco,2020-06-09,California,2796,44.0
Cook,2020-06-09,Georgia,57,1.0
Cook,2020-06-09,Illinois,83271,4010.0
San Francisco,2020-06-10,California,2812,44.0
Cook,2020-06-10,Georgia,59,1.0
Cook,2020-06-10,Illinois,83585,4053.0
San Francisco,2020-06-11,California,2843,44.0
Cook,2020-06-11,Georgia,62,1.0
Cook,2020-06-11,Illinois,83978,4111.0
San Francisco,2020-06-12,California,2880,44.0
Cook,2020-06-12,Georgia,67,1.0
Cook,2020-06-12,Illinois,84249,4162.0
San Francisco,2020-06-13,California,2909,44.0
Cook,2020-06-13,Georgia,71,1.0
Cook,2020-06-13,Illinois,84581,4173.0
Cook,2020-06-13,Minnesota,1,0.0
San Francisco,2020-06-14,California,2931,45.0
Cook,2020-06-14,Georgia,72,1.0
Cook,2020-06-14,Illinois,84906,4189.0
Cook,2020-06-14,Minnesota,1,0.0
San Francisco,2020-06-15,California,2955,45.0
Cook,2020-06-15,Georgia,75,1.0
Cook,2020-06-15,Illinois,85184,4206.0
Cook,2020-06-15,Minnesota,1,0.0
San Francisco,2020-06-16,California,2974,46.0
Cook,2020-06-16,Georgia,78,1.0
Cook,2020-06-16,Illinois,85538,4253.0
Cook,2020-06-16,Minnesota,1,0.0
San Francisco,2020-06-17,California,2985,47.0
Cook,2020-06-17,Georgia,82,1.0
Cook,2020-06-17,Illinois,85858,4304.0
Cook,2020-06-17,Minnesota,1,0.0
San Francisco,2020-06-18,California,3023,47.0
Cook,2020-06-18,Georgia,86,1.0
Cook,2020-06-18,Illinois,86179,4333.0
Cook,2020-06-18,Minnesota,1,0.0
San Francisco,2020-06-19,California,3060,47.0
Cook,2020-06-19,Georgia,89,1.0
Cook,2020-06-19,Illinois,86551,4363.0
Cook,2020-06-19,Minnesota,1,0.0
San Francisco,2020-06-20,California,3061,47.0
Cook,2020-06-20,Georgia,90,1.0
Cook,2020-06-20,Illinois,86885,4390.0
Cook,2020-06-20,Minnesota,1,0.0
San Francisco,2020-06-21,California,3061,47.0
Cook,2020-06-21,Georgia,91,1.0
Cook,2020-06-21,Illinois,87177,4404.0
Cook,2020-06-21,Minnesota,1,0.0
San Francisco,2020-06-22,California,3188,48.0
Cook,2020-06-22,Georgia,97,1.0
Cook,2020-06-22,Illinois,87424,4423.0
Cook,2020-06-22,Minnesota,1,0.0
San Francisco,2020-06-23,California,3222,48.0
Cook,2020-06-23,Georgia,104,1.0
Cook,2020-06-23,Illinois,87784,4439.0
Cook,2020-06-23,Minnesota,1,0.0
San Francisco,2020-06-24,California,3252,48.0
Cook,2020-06-24,Georgia,110,1.0
Cook,2020-06-24,Illinois,88138,4478.0
Cook,2020-06-24,Minnesota,1,0.0
San Francisco,2020-06-25,California,3300,48.0
Cook,2020-06-25,Georgia,114,1.0
Cook,2020-06-25,Illinois,88650,4500.0
Cook,2020-06-25,Minnesota,1,0.0
San Francisco,2020-06-26,California,3403,48.0
Cook,2020-06-26,Georgia,123,1.0
Cook,2020-06-26,Illinois,89068,4526.0
Cook,2020-06-26,Minnesota,1,0.0
San Francisco,2020-06-27,California,3471,49.0
Cook,2020-06-27,Georgia,126,1.0
Cook,2020-06-27,Illinois,89407,4536.0
Cook,2020-06-27,Minnesota,1,0.0
San Francisco,2020-06-28,California,3515,50.0
Cook,2020-06-28,Georgia,130,1.0
Cook,2020-06-28,Illinois,89755,4542.0
Cook,2020-06-28,Minnesota,1,0.0
San Francisco,2020-06-29,California,3564,50.0
Cook,2020-06-29,Georgia,130,1.0
Cook,2020-06-29,Illinois,90122,4554.0
Cook,2020-06-29,Minnesota,1,0.0
San Francisco,2020-06-30,California,3606,50.0
Cook,2020-06-30,Georgia,133,1.0
Cook,2020-06-30,Illinois,90536,4565.0
Cook,2020-06-30,Minnesota,1,0.0
San Francisco,2020-07-01,California,3651,50.0
Cook,2020-07-01,Georgia,147,1.0
Cook,2020-07-01,Illinois,90911,4581.0
Cook,2020-07-01,Minnesota,1,0.0
San Francisco,2020-07-02,California,3722,50.0
Cook,2020-07-02,Georgia,148,1.0
Cook,2020-07-02,Illinois,91381,4609.0
Cook,2020-07-02,Minnesota,1,0.0
San Francisco,2020-07-03,California,3722,50.0
Cook,2020-07-03,Georgia,156,2.0
Cook,2020-07-03,Illinois,91774,4618.0
Cook,2020-07-03,Minnesota,1,0.0
San Francisco,2020-07-04,California,3784,50.0
Cook,2020-07-04,Georgia,171,2.0
Cook,2020-07-04,Illinois,92240,4622.0
Cook,2020-07-04,Minnesota,1,0.0
San Francisco,2020-07-05,California,3864,50.0
Cook,2020-07-05,Georgia,177,2.0
Cook,2020-07-05,Illinois,92532,4627.0
Cook,2020-07-05,Minnesota,1,0.0
San Francisco,2020-07-06,California,3995,50.0
Cook,2020-07-06,Georgia,182,2.0
Cook,2020-07-06,Illinois,92781,4630.0
Cook,2020-07-06,Minnesota,1,0.0
San Francisco,2020-07-07,California,4023,50.0
Cook,2020-07-07,Georgia,195,3.0
Cook,2020-07-07,Illinois,93053,4651.0
Cook,2020-07-07,Minnesota,1,0.0
San Francisco,2020-07-08,California,4074,50.0
Cook,2020-07-08,Georgia,196,3.0
Cook,2020-07-08,Illinois,93496,4664.0
Cook,2020-07-08,Minnesota,1,0.0
San Francisco,2020-07-09,California,4148,50.0
Cook,2020-07-09,Georgia,205,3.0
Cook,2020-07-09,Illinois,94005,4676.0
Cook,2020-07-09,Minnesota,1,0.0
San Francisco,2020-07-10,California,4319,50.0
Cook,2020-07-10,Georgia,235,4.0
Cook,2020-07-10,Illinois,94605,4693.0
Cook,2020-07-10,Minnesota,1,0.0
San Francisco,2020-07-11,California,4429,50.0
Cook,2020-07-11,Georgia,238,4.0
Cook,2020-07-11,Illinois,95138,4711.0
Cook,2020-07-11,Minnesota,1,0.0
San Francisco,2020-07-12,California,4525,50.0
Cook,2020-07-12,Georgia,242,4.0
Cook,2020-07-12,Illinois,95557,4725.0
Cook,2020-07-12,Minnesota,1,0.0
San Francisco,2020-07-13,California,4593,50.0
Cook,2020-07-13,Georgia,248,4.0
Cook,2020-07-13,Illinois,95884,4729.0
Cook,2020-07-13,Minnesota,1,0.0
San Francisco,2020-07-14,California,4643,50.0
Cook,2020-07-14,Georgia,249,4.0
Cook,2020-07-14,Illinois,96186,4741.0
Cook,2020-07-14,Minnesota,1,0.0
San Francisco,2020-07-15,California,4699,50.0
Cook,2020-07-15,Georgia,262,4.0
Cook,2020-07-15,Illinois,96662,4745.0
Cook,2020-07-15,Minnesota,1,0.0
San Francisco,2020-07-16,California,4863,51.0
Cook,2020-07-16,Georgia,271,4.0
Cook,2020-07-16,Illinois,97214,4750.0
Cook,2020-07-16,Minnesota,1,0.0
San Francisco,2020-07-17,California,4978,52.0
Cook,2020-07-17,Georgia,278,4.0
Cook,2020-07-17,Illinois,97790,4765.0
Cook,2020-07-17,Minnesota,1,0.0
San Francisco,2020-07-18,California,5119,52.0
Cook,2020-07-18,Georgia,284,4.0
Cook,2020-07-18,Illinois,98292,4774.0
Cook,2020-07-18,Minnesota,1,0.0
San Francisco,2020-07-19,California,5205,52.0
Cook,2020-07-19,Georgia,289,4.0
Cook,2020-07-19,Illinois,98670,4776.0
Cook,2020-07-19,Minnesota,1,0.0
San Francisco,2020-07-20,California,5308,52.0
Cook,2020-07-20,Georgia,295,4.0
Cook,2020-07-20,Illinois,99052,4777.0
Cook,2020-07-20,Minnesota,1,0.0
San Francisco,2020-07-21,California,5366,53.0
Cook,2020-07-21,Georgia,298,5.0
Cook,2020-07-21,Illinois,99464,4788.0
Cook,2020-07-21,Minnesota,2,0.0
San Francisco,2020-07-22,California,5462,53.0
Cook,2020-07-22,Georgia,301,5.0
Cook,2020-07-22,Illinois,100124,4801.0
Cook,2020-07-22,Minnesota,2,0.0
San Francisco,2020-07-23,California,5567,55.0
Cook,2020-07-23,Georgia,312,5.0
Cook,2020-07-23,Illinois,100795,4810.0
Cook,2020-07-23,Minnesota,2,0.0
San Francisco,2020-07-24,California,5682,56.0
Cook,2020-07-24,Georgia,329,5.0
Cook,2020-07-24,Illinois,101420,4822.0
Cook,2020-07-24,Minnesota,2,0.0
San Francisco,2020-07-25,California,5790,56.0
Cook,2020-07-25,Georgia,334,5.0
Cook,2020-07-25,Illinois,101955,4829.0
Cook,2020-07-25,Minnesota,2,0.0
San Francisco,2020-07-26,California,5935,56.0
Cook,2020-07-26,Georgia,339,5.0
Cook,2020-07-26,Illinois,102583,4830.0
Cook,2020-07-26,Minnesota,2,0.0
San Francisco,2020-07-27,California,6025,56.0
Cook,2020-07-27,Georgia,344,5.0
Cook,2020-07-27,Illinois,103008,4845.0
Cook,2020-07-27,Minnesota,2,0.0
San Francisco,2020-07-28,California,6068,56.0
Cook,2020-07-28,Georgia,347,5.0
Cook,2020-07-28,Illinois,103441,4857.0
Cook,2020-07-28,Minnesota,2,0.0
San Francisco,2020-07-29,California,6200,57.0
Cook,2020-07-29,Georgia,367,6.0
Cook,2020-07-29,Illinois,104001,4864.0
Cook,2020-07-29,Minnesota,2,0.0
San Francisco,2020-07-30,California,6426,58.0
Cook,2020-07-30,Georgia,381,6.0
Cook,2020-07-30,Illinois,104691,4872.0
Cook,2020-07-30,Minnesota,2,0.0
San Francisco,2020-07-31,California,6578,59.0
Cook,2020-07-31,Georgia,394,6.0
Cook,2020-07-31,Illinois,105493,4886.0
Cook,2020-07-31,Minnesota,2,0.0
San Francisco,2020-08-01,California,6726,61.0
Cook,2020-08-01,Georgia,397,6.0
Cook,2020-08-01,Illinois,106131,4888.0
Cook,2020-08-01,Minnesota,2,0.0
San Francisco,2020-08-02,California,6814,61.0
Cook,2020-08-02,Georgia,402,6.0
Cook,2020-08-02,Illinois,106713,4894.0
Cook,2020-08-02,Minnesota,2,0.0
San Francisco,2020-08-03,California,6919,61.0
Cook,2020-08-03,Georgia,405,6.0
Cook,2020-08-03,Illinois,107247,4897.0
Cook,2020-08-03,Minnesota,2,0.0
San Francisco,2020-08-04,California,6992,61.0
Cook,2020-08-04,Georgia,409,6.0
Cook,2020-08-04,Illinois,107744,4902.0
Cook,2020-08-04,Minnesota,2,0.0
San Francisco,2020-08-05,California,7084,62.0
Cook,2020-08-05,Georgia,416,6.0
Cook,2020-08-05,Illinois,108425,4909.0
Cook,2020-08-05,Minnesota,2,0.0
San Francisco,2020-08-06,California,7231,63.0
Cook,2020-08-06,Georgia,426,6.0
Cook,2020-08-06,Illinois,109150,4912.0
Cook,2020-08-06,Minnesota,2,0.0
San Francisco,2020-08-07,California,7329,64.0
Cook,2020-08-07,Georgia,426,6.0
Cook,2020-08-07,Illinois,110002,4920.0
Cook,2020-08-07,Minnesota,3,0.0
San Francisco,2020-08-08,California,7435,67.0
Cook,2020-08-08,Georgia,432,6.0
Cook,2020-08-08,Illinois,110865,4924.0
Cook,2020-08-08,Minnesota,3,0.0
San Francisco,2020-08-09,California,7551,67.0
Cook,2020-08-09,Georgia,438,6.0
Cook,2020-08-09,Illinois,111447,4928.0
Cook,2020-08-09,Minnesota,5,0.0
San Francisco,2020-08-10,California,7626,67.0
Cook,2020-08-10,Georgia,440,6.0
Cook,2020-08-10,Illinois,111948,4928.0
Cook,2020-08-10,Minnesota,5,0.0
San Francisco,2020-08-11,California,7626,67.0
Cook,2020-08-11,Georgia,445,6.0
Cook,2020-08-11,Illinois,112485,4933.0
Cook,2020-08-11,Minnesota,5,0.0
San Francisco,2020-08-12,California,7837,67.0
Cook,2020-08-12,Georgia,454,6.0
Cook,2020-08-12,Illinois,113045,4934.0
Cook,2020-08-12,Minnesota,5,0.0
San Francisco,2020-08-13,California,7947,67.0
Cook,2020-08-13,Georgia,456,6.0
Cook,2020-08-13,Illinois,113796,4943.0
Cook,2020-08-13,Minnesota,5,0.0
San Francisco,2020-08-14,California,8056,69.0
Cook,2020-08-14,Georgia,462,6.0
Cook,2020-08-14,Illinois,114724,4951.0
Cook,2020-08-14,Minnesota,6,0.0
San Francisco,2020-08-15,California,8160,69.0
Cook,2020-08-15,Georgia,472,8.0
Cook,2020-08-15,Illinois,115344,4953.0
Cook,2020-08-15,Minnesota,6,0.0
San Francisco,2020-08-16,California,8295,69.0
Cook,2020-08-16,Georgia,472,9.0
Cook,2020-08-16,Illinois,115960,4962.0
Cook,2020-08-16,Minnesota,6,0.0
San Francisco,2020-08-17,California,8349,70.0
Cook,2020-08-17,Georgia,472,9.0
Cook,2020-08-17,Illinois,116620,4964.0
Cook,2020-08-17,Minnesota,6,0.0
San Francisco,2020-08-18,California,8430,70.0
Cook,2020-08-18,Georgia,475,9.0
Cook,2020-08-18,Illinois,117171,4974.0
Cook,2020-08-18,Minnesota,6,0.0
San Francisco,2020-08-19,California,8531,72.0
Cook,2020-08-19,Georgia,478,9.0
Cook,2020-08-19,Illinois,118012,4984.0
Cook,2020-08-19,Minnesota,6,0.0
San Francisco,2020-08-20,California,8614,72.0
